expense_id,employee_id,category,amount,currency,expense_date,submitted_date,status,description,approver_id
EXP0001,EMP049,Cab/Local Conveyance,1892,INR,2026-08-20,2026-08-25,Approved,Cab/Local Conveyance expense incurred on 20 Aug 2026,EMP050
EXP0002,EMP032,Internet Reimbursement,848,INR,2026-08-29,2026-09-06,Approved,Internet Reimbursement expense incurred on 29 Aug 2026,EMP024
EXP0003,EMP006,Internet Reimbursement,1276,INR,2026-05-15,2026-05-22,Pending,Internet Reimbursement expense incurred on 15 May 2026,EMP029
EXP0004,EMP051,Travel,4549,INR,2026-06-23,2026-06-28,Pending,Travel expense incurred on 23 Jun 2026,EMP024
EXP0005,EMP036,Training/Certification,16868,INR,2026-02-07,2026-02-11,Approved,Training/Certification expense incurred on 07 Feb 2026,EMP027
EXP0006,EMP008,Internet Reimbursement,1048,INR,2026-03-13,2026-03-20,Approved,Internet Reimbursement expense incurred on 13 Mar 2026,EMP040
EXP0007,EMP047,Office Supplies,1231,INR,2026-08-23,2026-08-23,Reimbursed,Office Supplies expense incurred on 23 Aug 2026,EMP024
EXP0008,EMP035,Accommodation,2893,INR,2026-05-21,2026-05-28,Approved,Accommodation expense incurred on 21 May 2026,EMP043
EXP0009,EMP001,Office Supplies,1055,INR,2026-05-12,2026-05-19,Approved,Office Supplies expense incurred on 12 May 2026,EMP022
EXP0010,EMP053,Client Meal,2514,INR,2026-07-01,2026-07-10,Approved,Client Meal expense incurred on 01 Jul 2026,EMP017
EXP0011,EMP006,Internet Reimbursement,926,INR,2026-01-14,2026-01-20,Pending,Internet Reimbursement expense incurred on 14 Jan 2026,EMP029
EXP0012,EMP029,Office Supplies,2843,INR,2026-05-22,2026-05-23,Approved,Office Supplies expense incurred on 22 May 2026,EMP027
EXP0013,EMP041,Internet Reimbursement,660,INR,2026-05-02,2026-05-04,Approved,Internet Reimbursement expense incurred on 02 May 2026,EMP017
EXP0014,EMP027,Cab/Local Conveyance,1597,INR,2026-07-26,2026-07-30,Reimbursed,Cab/Local Conveyance expense incurred on 26 Jul 2026,EMP029
