asset_id,employee_id,asset_type,brand_model,serial_number,issued_date,status,warranty_expiry
AST0001,EMP001,Mobile Phone,Samsung Galaxy S23,SN-QGWX-20450533,2020-12-21,Assigned,2021-12-21
AST0002,EMP002,Docking Station,HP USB-C Dock G5,SN-LVVY-69232260,2023-09-07,Under Repair,2025-09-06
AST0003,EMP002,Headset,Sony WH-1000XM4,SN-MDWT-34216073,2026-02-14,Under Repair,2029-02-13
AST0004,EMP003,Monitor,"Dell 24"" FHD",SN-XRWP-33036541,2025-05-25,Under Repair,2028-05-24
AST0005,EMP003,Docking Station,HP USB-C Dock G5,SN-CGMB-85014294,2023-05-09,Assigned,2026-05-08
AST0006,EMP003,Headset,Sony WH-1000XM4,SN-QCTB-56981693,2022-04-10,Assigned,2025-04-09
AST0007,EMP004,Monitor,"LG 27"" UltraWide",SN-QHUT-83561595,2020-01-05,Returned,2022-01-04
AST0008,EMP005,Headset,Jabra Evolve2 40,SN-QYRV-65648236,2023-05-03,Under Repair,2024-05-02
AST0009,EMP006,Laptop,Dell Latitude 5440,SN-NBYL-99468044,2025-12-09,Returned,2027-12-09
AST0010,EMP006,Headset,Logitech H390,SN-QFSG-57773872,2023-12-28,Under Repair,2024-12-27
AST0011,EMP007,Mobile Phone,Samsung Galaxy S23,SN-BCPE-95134332,2024-05-14,Assigned,2025-05-14
AST0012,EMP007,Monitor,"Dell 24"" FHD",SN-PJPS-17693676,2024-01-08,Assigned,2025-01-07
AST0013,EMP007,Laptop,Lenovo ThinkPad T14,SN-PHDI-16328708,2020-01-14,Assigned,2022-01-13
AST0014,EMP008,Headset,Sony WH-1000XM4,SN-JCKV-88957986,2025-04-09,Assigned,2026-04-09
AST0015,EMP008,Docking Station,Dell WD19,SN-CETS-74348734,2025-09-01,Assigned,2027-09-01
AST0016,EMP009,Docking Station,Dell WD19,SN-SJTN-55812236,2021-07-17,Assigned,2023-07-17
AST0017,EMP009,Headset,Logitech H390,SN-YXLS-65876036,2020-06-03,Assigned,2021-06-03
AST0018,EMP010,Docking Station,HP USB-C Dock G5,SN-IVVI-96705466,2020-02-16,Assigned,2021-02-15
AST0019,EMP011,Headset,Sony WH-1000XM4,SN-VQRZ-37346706,2025-04-06,Returned,2028-04-05
AST0020,EMP011,Laptop,HP EliteBook 840,SN-KQBF-27298069,2022-08-29,Assigned,2025-08-28
AST0021,EMP012,Laptop,Lenovo ThinkPad T14,SN-DUVW-27204653,2024-03-24,Returned,2025-03-24
AST0022,EMP013,Laptop,Lenovo ThinkPad T14,SN-WOPE-46417080,2025-10-14,Returned,2026-10-14
