employee_id,leave_year,casual_leave_total,casual_leave_used,casual_leave_remaining,earned_leave_total,earned_leave_used,earned_leave_remaining,sick_leave_total,sick_leave_used,sick_leave_remaining,wfh_days_used_this_month
EMP001,2026,12,9,3,15,10,5,10,7,3,7
EMP002,2026,12,7,5,15,6,9,10,8,2,7
EMP003,2026,12,12,0,15,5,10,10,10,0,1
EMP004,2026,12,4,8,15,10,5,10,1,9,3
EMP005,2026,12,10,2,15,9,6,10,3,7,3
EMP006,2026,12,2,10,15,0,15,10,0,10,3
EMP007,2026,12,7,5,15,2,13,10,7,3,6
EMP008,2026,12,10,2,15,6,9,10,6,4,7
EMP009,2026,12,6,6,15,7,8,10,2,8,0
EMP010,2026,12,12,0,15,3,12,10,6,4,3
EMP011,2026,12,2,10,15,14,1,10,0,10,8
EMP012,2026,12,3,9,15,3,12,10,7,3,2
EMP013,2026,12,12,0,15,14,1,10,10,0,8
EMP014,2026,12,8,4,15,10,5,10,7,3,8
EMP015,2026,12,6,6,15,14,1,10,2,8,7
EMP016,2026,12,7,5,15,8,7,10,3,7,4
EMP017,2026,12,12,0,15,15,0,10,10,0,3
EMP018,2026,12,4,8,15,14,1,10,1,9,4
EMP019,2026,12,3,9,15,8,7,10,5,5,5
EMP020,2026,12,8,4,15,2,13,10,2,8,2
EMP021,2026,12,3,9,15,12,3,10,2,8,3
EMP022,2026,12,1,11,15,13,2,10,6,4,5
EMP023,2026,12,8,4,15,14,1,10,6,4,0
EMP024,2026,12,3,9,15,13,2,10,6,4,0
EMP025,2026,12,12,0,15,12,3,10,7,3,0
EMP026,2026,12,5,7,15,9,6,10,6,4,6
EMP027,2026,12,8,4,15,7,8,10,7,3,3
EMP028,2026,12,4,8,15,13,2,10,7,3,0
EMP029,2026,12,6,6,15,10,5,10,10,0,6
EMP030,2026,12,11,1,15,5,10,10,7,3,2
EMP031,2026,12,9,3,15,0,15,10,6,4,0
EMP032,2026,12,1,11,15,13,2,10,2,8,7
EMP033,2026,12,2,10,15,1,14,10,4,6,6
EMP034,2026,12,5,7,15,6,9,10,7,3,5
EMP035,2026,12,5,7,15,12,3,10,4,6,6
EMP036,2026,12,4,8,15,2,13,10,7,3,0
EMP037,2026,12,11,1,15,1,14,10,5,5,3
EMP038,2026,12,10,2,15,2,13,10,10,0,0
EMP039,2026,12,12,0,15,0,15,10,3,7,3
EMP040,2026,12,0,12,15,4,11,10,3,7,2
EMP041,2026,12,7,5,15,3,12,10,9,1,3
EMP042,2026,12,7,5,15,8,7,10,5,5,2
EMP043,2026,12,9,3,15,3,12,10,2,8,4
EMP044,2026,12,1,11,15,0,15,10,4,6,6
EMP045,2026,12,6,6,15,6,9,10,1,9,3
EMP046,2026,12,1,11,15,9,6,10,10,0,1
EMP047,2026,12,12,0,15,1,14,10,5,5,8
EMP048,2026,12,6,6,15,11,4,10,1,9,8
EMP049,2026,12,10,2,15,10,5,10,0,10,6
EMP050,2026,12,7,5,15,3,12,10,6,4,5
EMP051,2026,12,10,2,15,14,1,10,2,8,6
EMP052,2026,12,2,10,15,8,7,10,9,1,8
EMP053,2026,12,12,0,15,15,0,10,7,3,6
EMP054,2026,12,11,1,15,8,7,10,5,5,3
EMP055,2026,12,1,11,15,8,7,10,7,3,3
